;T2M_RANGE;TS;T2MDEW;T2MWET;T2M_MAX;T2M_MIN;T2M;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
20090208;7.02;-2.67;-2.5;-2.18;1.1;-5.92;-1.85;3.3;96.12;2.34;97.85;3.12;4.58;1.44;3.14;4.91;7.84;2.14;5.69
20090209;1.53;0.29;0.25;0.37;1.26;-0.27;0.51;3.97;98.06;4.45;97.31;4.25;7.14;2.34;4.8;6.09;9.23;3.13;6.11
20090210;5.52;-0.95;-0.85;-0.53;2.16;-3.35;-0.22;3.66;96.0;1.53;98.04;5.38;7.62;3.01;4.61;7.88;9.95;5.45;4.5
20090211;5.99;-0.43;-0.22;0.05;2.59;-3.4;0.31;3.78;96.81;1.24;99.51;3.92;4.8;2.9;1.91;6.95;8.27;5.64;2.63
20090212;6.99;-0.79;-1.12;-0.67;3.89;-3.1;-0.23;3.54;94.38;5.35;100.06;4.17;7.74;1.98;5.76;6.52;12.09;3.06;9.02
20090213;5.05;-0.32;-0.57;0.02;3.65;-1.4;0.62;3.66;92.19;0.36;100.19;2.66;3.87;1.41;2.45;4.28;6.98;2.1;4.88
20090214;4.98;-0.1;0.05;0.41;3.62;-1.35;0.77;3.78;95.0;0.15;100.58;2.33;3.64;0.77;2.88;3.95;6.98;1.12;5.87
20090215;3.72;2.8;3.36;3.42;5.15;1.43;3.48;4.82;98.94;0.96;100.39;4.69;6.05;3.49;2.57;8.04;9.07;6.73;2.34
20090216;4.13;4.73;4.69;4.87;7.45;3.32;5.04;5.31;97.38;0.16;100.31;5.55;6.99;3.49;3.49;7.95;8.95;6.91;2.04
20090217;3.98;6.44;6.26;6.46;9.23;5.24;6.65;5.92;97.31;0.74;100.46;4.58;6.44;2.26;4.18;6.62;8.97;4.24;4.73
20090218;4.38;6.03;5.85;6.09;8.55;4.16;6.33;5.74;96.69;2.26;100.51;1.98;2.68;1.25;1.44;3.5;5.44;2.42;3.02
20090219;6.11;3.91;3.83;4.05;7.18;1.07;4.28;5.0;96.75;0.61;100.56;3.61;5.1;2.17;2.93;5.62;6.79;3.78;3.01
20090220;4.48;3.55;3.08;3.47;6.41;1.93;3.86;4.7;94.62;0.54;100.92;2.69;4.49;1.0;3.49;4.06;7.12;1.4;5.72
20090221;2.55;5.28;4.52;4.96;6.78;4.23;5.39;5.19;94.12;0.31;100.89;6.35;8.45;4.39;4.05;8.67;10.53;6.78;3.75
20090222;3.46;6.26;5.44;5.96;8.51;5.05;6.47;5.62;93.25;0.4;100.47;7.21;8.8;5.41;3.39;9.8;11.27;7.6;3.67
20090223;3.13;6.43;6.12;6.35;8.24;5.11;6.58;5.86;96.69;0.81;100.29;5.0;6.69;1.94;4.75;7.09;8.46;4.14;4.31
20090224;2.01;6.23;5.88;6.08;7.48;5.47;6.27;5.74;97.31;0.42;100.54;2.68;3.94;1.94;2.0;4.2;5.17;2.96;2.21
20090225;4.24;5.48;4.92;5.31;8.18;3.94;5.69;5.37;94.69;0.5;100.36;5.76;8.31;3.23;5.09;8.06;10.48;5.45;5.03
20090226;3.27;5.31;4.77;5.14;7.04;3.77;5.5;5.37;95.0;0.63;99.92;7.23;8.79;6.28;2.52;9.73;11.34;8.38;2.96
20090227;4.07;6.59;6.23;6.55;8.62;4.55;6.85;5.98;95.75;0.88;99.58;6.35;8.27;3.82;4.45;8.95;11.25;7.05;4.21
20090228;5.01;5.0;4.36;4.78;8.34;3.34;5.2;5.25;94.31;0.37;99.07;3.8;4.84;2.65;2.19;6.1;7.05;4.99;2.06
20090301;4.72;4.58;3.85;4.29;7.86;3.13;4.73;5.07;94.19;0.53;98.65;4.38;6.19;3.26;2.94;6.47;7.9;4.71;3.19
20090302;4.96;5.01;4.14;4.58;7.76;2.8;5.03;5.19;94.06;1.55;99.11;5.79;7.31;4.35;2.97;7.72;10.01;5.48;4.53
20090303;4.31;4.48;4.07;4.38;6.52;2.21;4.69;5.25;95.62;8.51;97.48;7.43;13.53;4.23;9.31;9.96;17.66;6.54;11.12
20090304;5.14;1.01;-0.96;0.15;3.98;-1.17;1.28;3.72;85.75;0.34;96.06;2.95;4.66;1.72;2.94;4.34;7.28;2.82;4.46
20090305;7.51;0.94;-0.85;0.12;5.05;-2.45;1.1;3.66;87.94;0.33;97.26;3.06;4.42;1.83;2.59;4.94;6.62;2.66;3.96
20090306;7.85;1.98;1.22;1.73;6.33;-1.52;2.23;4.27;92.19;0.27;98.31;3.16;3.77;2.43;1.34;5.27;6.79;3.94;2.85
20090307;5.39;6.49;5.94;6.31;8.96;3.57;6.69;5.92;94.88;3.16;98.27;7.09;11.76;3.34;8.42;9.67;15.79;5.9;9.88
20090308;4.91;3.07;1.76;2.57;6.47;1.56;3.38;4.46;89.06;3.21;97.62;9.94;11.94;8.61;3.32;13.26;16.03;11.02;5.01
20090309;3.56;3.98;2.64;3.42;6.33;2.76;4.2;4.7;89.62;1.66;98.37;9.72;12.48;5.07;7.41;12.98;16.38;7.39;8.99
20090310;8.18;3.87;2.75;3.38;8.65;0.46;4.01;4.7;91.81;5.42;98.73;3.65;4.86;1.51;3.36;5.42;6.9;2.85;4.05
20090311;10.21;5.48;4.9;5.3;10.39;0.17;5.71;5.55;93.88;0.17;99.82;4.15;6.93;1.9;5.02;5.89;9.92;2.88;7.05
20090312;5.41;7.56;6.03;6.88;10.22;4.8;7.74;5.86;89.31;1.26;99.62;6.95;9.32;3.58;5.73;9.73;11.77;6.84;4.93
20090313;4.81;5.75;5.29;5.62;8.38;3.57;5.94;5.62;95.19;0.35;99.52;3.92;5.87;1.52;4.35;5.79;8.33;2.95;5.38
20090314;4.5;6.7;5.06;5.98;9.15;4.65;6.9;5.49;88.44;0.72;99.34;8.44;11.56;5.85;5.71;11.54;14.71;8.85;5.86
20090315;6.88;6.98;5.07;6.05;11.17;4.3;7.03;5.43;87.94;0.02;100.79;4.05;6.02;1.8;4.21;5.55;8.8;3.24;5.56
20090316;8.48;6.76;5.27;6.13;11.87;3.39;6.99;5.49;89.5;0.09;100.98;3.3;5.35;1.91;3.45;5.08;6.5;3.28;3.22
20090317;6.16;6.64;5.13;5.83;9.99;3.84;6.55;5.43;91.19;0.11;101.41;4.2;5.8;2.2;3.61;5.97;6.97;4.59;2.38
20090318;8.85;4.59;3.72;4.26;9.86;1.01;4.82;4.94;92.31;0.16;101.03;2.15;3.79;0.73;3.05;2.82;5.09;0.88;4.22
20090319;9.67;5.79;4.42;5.05;11.58;1.91;5.67;5.19;90.94;0.15;100.85;4.11;5.4;2.65;2.75;5.59;6.94;4.27;2.66
20090320;8.48;5.21;2.71;3.94;10.55;2.07;5.16;4.58;85.06;0.09;100.96;3.67;4.5;2.44;2.06;5.1;6.19;4.58;1.61
20090321;8.27;4.87;4.41;4.71;8.83;0.56;5.01;5.19;94.31;0.18;100.91;4.95;6.83;2.89;3.94;7.01;8.38;5.0;3.38
20090322;7.32;6.32;5.03;5.67;9.83;2.51;6.31;5.43;91.81;0.11;100.86;6.95;10.32;4.33;5.99;9.3;13.26;6.12;7.13
20090323;5.02;5.5;3.47;4.61;7.69;2.65;5.74;4.94;85.75;1.13;99.37;11.55;13.65;8.15;5.5;15.32;17.66;11.16;6.51
20090324;6.81;4.56;1.94;3.16;7.43;0.62;4.38;4.46;85.12;2.85;99.28;7.21;11.2;5.72;5.48;9.48;15.2;6.87;8.33
20090325;3.77;5.77;4.59;5.3;8.08;4.3;6.02;5.37;90.56;2.09;98.07;9.85;11.46;5.15;6.31;13.22;15.04;8.32;6.72
20090326;5.37;5.4;3.58;4.57;8.65;3.28;5.55;5.07;87.62;3.69;97.61;9.09;12.26;4.57;7.69;12.18;15.59;7.29;8.3
20090327;3.8;3.76;1.76;2.84;5.91;2.11;3.94;4.46;85.88;1.64;97.07;9.48;11.38;5.8;5.58;12.68;14.67;8.05;6.62
20090328;8.06;3.27;1.25;2.34;6.36;-1.7;3.44;4.27;86.06;1.69;97.94;7.31;10.59;2.45;8.13;10.23;13.56;4.98;8.58
20090329;9.89;2.26;-2.04;0.1;7.65;-2.24;2.24;3.36;75.5;0.01;99.06;2.42;3.85;0.89;2.97;3.78;7.09;1.44;5.66
20090330;9.97;5.13;4.68;5.01;9.86;-0.11;5.36;5.37;94.69;0.57;99.63;4.56;6.33;2.62;3.7;6.98;7.89;5.49;2.41
20090331;8.49;8.35;6.37;7.4;12.98;4.48;8.44;5.98;87.31;0.23;100.13;2.27;3.16;1.14;2.01;3.46;6.17;1.97;4.2
20090401;10.83;8.77;6.04;7.54;14.76;3.94;9.05;5.86;83.19;0.02;100.25;2.73;3.45;1.72;1.74;4.33;6.91;2.62;4.29
20090402;9.4;7.32;5.86;6.4;11.8;2.4;6.95;5.8;92.0;0.08;100.08;3.49;4.83;2.56;2.27;4.97;5.9;3.55;2.35
20090403;9.48;8.18;5.47;6.46;12.95;3.48;7.45;5.68;87.81;0.09;99.47;2.68;3.95;1.87;2.09;3.9;7.2;2.1;5.11
20090404;8.85;7.2;5.16;6.15;11.2;2.35;7.15;5.55;87.75;1.08;99.51;5.62;9.22;2.77;6.45;8.08;11.38;5.87;5.5
20090405;10.62;5.69;3.28;4.68;11.12;0.51;6.07;4.82;82.38;0.03;99.98;3.19;4.73;1.68;3.05;4.88;7.83;2.79;5.04
20090406;7.16;7.23;6.01;6.71;11.12;3.95;7.4;5.92;91.06;2.67;98.71;4.57;5.93;3.87;2.07;6.71;8.09;5.1;2.98
20090407;6.11;7.84;4.95;6.32;11.05;4.94;7.69;5.55;84.0;2.63;98.14;6.76;10.82;3.81;7.01;9.14;14.4;6.06;8.34
20090408;7.21;7.22;4.73;6.05;10.9;3.69;7.37;5.43;84.06;2.72;98.05;8.3;12.09;3.15;8.95;11.55;16.02;6.67;9.34
20090409;8.75;9.01;8.03;8.64;12.69;3.94;9.24;6.9;92.12;4.94;98.38;6.91;8.02;3.59;4.43;9.64;11.0;7.35;3.65
20090410;6.59;8.68;7.75;8.3;11.76;5.17;8.84;6.71;92.94;5.04;98.05;4.12;5.74;1.73;4.01;5.87;8.27;3.34;4.92
20090411;10.96;7.55;3.61;5.65;12.68;1.73;7.69;5.0;77.44;0.08;98.79;1.27;2.38;0.31;2.07;1.82;4.05;0.46;3.59
20090412;11.2;8.94;4.87;6.77;14.05;2.85;8.66;5.49;79.56;0.14;99.31;1.94;2.81;0.86;1.95;3.07;5.81;0.95;4.86
20090413;7.91;9.48;6.93;8.04;13.47;5.57;9.14;6.29;87.0;0.32;98.93;3.27;4.42;1.54;2.88;4.62;7.3;1.95;5.35
20090414;7.45;9.87;7.87;8.69;13.55;6.09;9.53;6.71;89.75;1.51;98.85;4.28;5.21;3.4;1.81;5.75;7.2;4.66;2.54
20090415;7.54;8.98;7.15;7.96;12.94;5.4;8.76;6.41;89.94;0.82;98.88;8.11;9.59;5.41;4.19;10.28;11.94;6.7;5.23
20090416;7.12;9.23;7.04;7.96;13.57;6.45;8.88;6.35;88.75;0.78;98.82;7.41;8.53;6.34;2.2;9.35;10.53;8.28;2.25
20090417;10.38;8.93;6.12;7.4;14.09;3.71;8.69;5.98;85.12;0.24;99.14;6.8;8.58;5.12;3.45;8.98;10.55;7.36;3.19
20090418;10.8;7.63;4.17;5.62;13.21;2.4;7.08;5.13;83.5;0.03;99.93;4.95;6.69;2.98;3.71;6.72;8.17;5.34;2.83
20090419;11.21;8.53;4.21;5.92;14.33;3.12;7.64;5.13;81.0;0.07;100.43;2.5;3.85;1.96;1.88;3.4;5.47;2.17;3.3
20090420;14.56;10.04;5.5;7.78;17.12;2.55;10.06;5.62;75.12;0.03;100.6;1.1;2.19;0.3;1.88;1.61;3.81;0.3;3.52
20090421;10.48;8.87;6.37;7.87;14.96;4.48;9.38;5.98;82.25;0.07;100.52;3.76;7.23;0.91;6.3;5.34;9.01;1.66;7.35
20090422;11.48;9.58;5.33;7.42;15.08;3.59;9.52;5.62;77.75;0.02;100.41;2.61;4.24;0.82;3.42;4.01;5.98;1.1;4.88
20090423;10.33;10.94;8.05;9.4;16.01;5.68;10.76;6.77;84.38;0.01;99.89;4.33;5.88;2.6;3.27;6.57;8.35;5.07;3.28
20090424;8.95;10.4;7.07;8.85;15.63;6.69;10.63;6.35;80.12;0.0;99.19;5.96;8.95;3.48;5.46;8.7;11.53;7.28;4.25
20090425;9.14;9.3;5.81;7.54;13.61;4.47;9.26;5.86;80.44;0.65;98.51;5.53;7.7;3.29;4.41;7.92;9.8;6.72;3.07
20090426;11.12;8.55;4.7;6.45;13.49;2.37;8.19;5.43;80.06;0.16;98.51;3.77;5.41;2.6;2.81;5.8;7.54;3.08;4.46
20090427;5.85;6.2;4.53;5.34;9.14;3.3;6.15;5.43;89.75;8.16;97.36;4.5;6.93;1.98;4.95;6.0;8.86;3.29;5.57
20090428;6.52;6.62;5.23;5.87;9.69;3.17;6.52;5.68;91.75;9.81;98.04;2.51;3.48;1.45;2.03;3.62;4.6;2.91;1.69
20090429;9.7;9.44;5.41;7.24;14.41;4.71;9.06;5.68;79.94;0.57;98.65;4.79;6.95;2.38;4.56;6.76;9.07;3.62;5.46
20090430;7.71;10.16;8.6;9.4;14.19;6.49;10.19;7.08;90.12;4.75;99.27;5.53;7.98;2.58;5.4;7.84;10.11;5.77;4.34
20090501;8.88;10.93;8.39;9.64;15.87;6.99;10.88;6.9;86.0;1.25;99.97;5.23;8.44;3.01;5.43;7.88;10.65;5.95;4.7
20090502;8.24;10.17;6.27;7.98;13.61;5.37;9.68;5.92;80.75;0.11;100.54;3.22;4.6;1.68;2.92;4.94;7.09;3.33;3.77
20090503;5.92;7.58;4.18;5.75;10.26;4.33;7.32;5.13;81.94;1.47;100.47;6.09;9.12;2.28;6.84;8.73;11.16;4.96;6.2
20090504;5.45;8.44;7.13;7.8;10.43;4.98;8.47;6.35;91.44;3.48;100.1;7.12;8.95;3.99;4.96;9.77;11.73;6.79;4.93
20090505;5.34;10.58;8.75;9.7;13.43;8.09;10.65;7.08;88.19;2.21;99.55;8.81;10.97;5.89;5.08;11.88;14.73;8.03;6.7
20090506;5.68;11.47;9.37;10.44;14.89;9.21;11.51;7.39;86.94;2.2;99.1;8.78;10.16;7.12;3.04;11.77;13.83;9.55;4.28
20090507;7.62;10.44;5.31;7.73;14.31;6.69;10.14;5.68;73.38;0.76;98.66;8.45;9.37;7.66;1.7;11.24;12.42;9.46;2.96
20090508;5.93;8.18;4.77;6.48;11.1;5.18;8.19;5.43;79.94;1.63;98.48;8.73;12.15;5.3;6.84;11.91;15.56;8.23;7.34
20090509;7.31;8.59;5.37;6.91;12.58;5.28;8.46;5.62;82.06;1.07;99.2;6.39;10.22;2.38;7.84;8.71;12.9;4.53;8.36
20090510;6.96;8.83;5.76;7.18;12.26;5.3;8.61;5.74;83.44;0.53;99.95;2.46;4.18;0.28;3.89;4.0;7.25;0.4;6.85
20090511;9.56;8.03;3.17;5.33;12.44;2.88;7.5;4.76;76.44;0.02;100.47;6.81;8.48;4.52;3.97;8.96;10.48;6.67;3.81
20090512;10.97;8.05;3.57;5.6;13.24;2.27;7.64;4.88;77.31;0.0;100.36;7.6;9.51;5.62;3.89;10.12;11.84;8.49;3.34
20090513;9.24;9.31;6.37;7.8;13.76;4.52;9.23;6.04;83.5;3.07;99.6;8.02;10.49;6.02;4.48;10.7;13.38;8.41;4.96
20090514;4.48;9.76;8.19;8.96;12.17;7.69;9.74;6.84;90.31;2.39;98.9;6.2;7.41;5.22;2.2;8.27;9.32;7.12;2.2
20090515;5.48;9.9;8.68;9.26;13.03;7.55;9.83;7.2;92.69;21.84;97.96;3.66;5.64;1.27;4.38;5.19;7.71;1.53;6.18
20090516;8.41;9.16;6.48;7.79;13.12;4.71;9.11;6.16;84.56;2.02;98.08;6.66;10.12;3.72;6.41;9.08;13.23;5.34;7.89
20090517;6.73;9.15;6.79;7.87;12.54;5.81;8.94;6.29;87.0;5.52;98.26;6.17;8.29;4.2;4.09;8.2;10.5;5.23;5.27
20090518;6.73;9.95;7.77;8.89;13.87;7.15;10.01;6.71;86.5;4.44;98.57;8.34;10.51;5.8;4.7;11.26;13.72;8.2;5.53
20090519;6.48;9.92;7.57;8.69;13.18;6.69;9.82;6.53;86.62;3.38;99.22;5.99;7.52;3.97;3.55;8.26;9.42;7.1;2.32
20090520;7.2;10.48;8.13;9.19;13.93;6.73;10.24;6.77;87.56;4.5;99.51;5.05;7.12;2.12;4.99;7.03;8.84;4.72;4.13
20090521;6.16;10.1;7.3;8.58;13.16;7.01;9.85;6.41;85.12;3.17;99.18;4.48;6.33;2.42;3.91;6.54;7.67;5.26;2.41
20090522;6.84;10.92;8.62;9.64;14.18;7.34;10.66;7.02;87.69;3.01;99.36;4.58;6.96;2.45;4.51;6.6;8.59;4.94;3.66
20090523;8.82;12.55;9.34;10.86;17.26;8.43;12.38;7.39;83.12;0.14;99.54;4.49;6.46;2.49;3.97;6.45;8.1;4.33;3.77
20090524;13.31;12.84;7.19;9.87;17.96;4.65;12.55;6.35;71.38;0.0;99.84;2.05;4.06;0.34;3.71;2.98;6.89;0.48;6.41
20090525;13.1;14.19;10.65;12.38;20.01;6.9;14.12;8.18;80.94;1.95;99.37;3.12;4.57;1.54;3.03;4.21;5.7;2.34;3.36
20090526;5.29;9.97;6.5;8.13;12.01;6.72;9.76;6.1;81.31;0.99;99.23;7.1;10.09;2.64;7.45;9.77;12.42;4.87;7.55
20090527;7.99;10.62;9.3;10.01;14.62;6.63;10.73;7.45;90.94;3.73;99.56;7.48;10.53;5.38;5.16;10.23;13.74;7.66;6.09
20090528;8.93;14.94;12.44;13.5;18.94;10.01;14.56;8.97;87.19;0.5;100.72;4.71;6.21;1.79;4.42;6.42;8.8;3.04;5.76
20090529;13.5;15.63;12.57;14.09;22.16;8.66;15.62;9.09;82.12;0.04;100.98;4.09;5.71;1.58;4.13;5.65;9.05;2.59;6.47
20090530;12.31;13.59;8.74;11.05;19.28;6.96;13.35;7.02;75.88;0.01;100.74;4.82;5.8;3.46;2.34;6.97;7.98;6.26;1.72
20090531;13.81;14.49;10.48;12.38;20.93;7.12;14.3;7.87;78.75;0.04;100.76;4.6;6.77;3.02;3.76;6.87;8.38;4.2;4.19
20090601;13.82;15.23;9.62;12.44;21.72;7.89;15.26;7.51;70.81;0.0;100.73;3.55;4.56;2.03;2.53;5.48;7.39;3.48;3.91
20090602;12.65;16.62;10.68;13.78;23.48;10.83;16.88;8.24;68.38;0.01;100.51;1.88;3.8;0.42;3.38;2.7;5.89;0.6;5.28
20090603;9.84;12.02;7.78;9.59;15.22;5.37;11.41;6.59;79.5;0.09;100.22;3.8;4.78;2.33;2.46;5.19;6.77;3.53;3.23
20090604;11.76;10.77;5.98;7.91;15.01;3.25;9.85;5.86;78.38;0.33;99.78;2.55;4.11;0.95;3.16;3.52;5.93;1.2;4.73
20090605;6.85;9.81;6.04;7.62;12.93;6.08;9.2;5.92;81.38;6.91;98.87;3.66;6.4;2.04;4.35;4.61;8.55;2.9;5.65
20090606;6.17;8.2;5.73;6.93;11.24;5.07;8.12;5.8;85.56;16.88;98.36;7.62;8.99;5.43;3.56;10.01;11.44;7.67;3.77
20090607;4.87;9.28;7.09;8.21;11.7;6.83;9.33;6.41;86.31;3.9;98.32;6.63;8.6;4.22;4.38;9.12;11.05;7.33;3.73
20090608;8.09;11.0;6.27;8.38;14.59;6.5;10.49;6.04;76.81;0.12;98.72;5.26;6.35;4.15;2.2;7.24;7.95;6.23;1.72
20090609;8.52;11.33;7.75;9.27;15.03;6.51;10.79;6.65;82.62;1.26;98.77;4.69;6.51;1.98;4.53;6.3;8.17;4.21;3.96
20090610;6.23;10.23;8.2;9.15;12.87;6.63;10.09;6.84;88.31;8.67;99.01;2.18;3.16;1.23;1.92;3.11;4.32;1.93;2.4
20090611;7.66;10.33;6.4;8.19;13.26;5.61;9.98;6.04;79.94;0.51;99.52;4.78;7.23;1.59;5.64;6.77;8.7;2.7;6.0
20090612;13.43;12.94;7.41;9.72;17.29;3.86;12.03;6.47;75.25;0.11;99.89;2.52;3.55;0.91;2.63;4.07;6.85;1.02;5.84
20090613;8.3;15.34;11.16;12.99;18.73;10.43;14.83;8.3;80.12;0.71;99.69;2.84;3.8;1.9;1.91;4.23;5.18;3.38;1.8
20090614;10.3;14.31;10.03;11.98;18.34;8.05;13.91;7.69;78.81;0.26;99.69;2.55;3.45;1.86;1.59;3.65;4.28;2.6;1.68
20090615;7.18;13.94;10.11;11.87;17.31;10.13;13.64;7.75;80.38;4.73;99.56;1.28;2.19;0.52;1.66;1.91;3.23;0.5;2.73
20090616;11.21;15.0;10.47;12.49;19.25;8.05;14.51;7.93;78.44;0.28;99.98;2.05;3.18;1.08;2.1;3.28;6.91;1.32;5.59
20090617;5.42;12.7;11.1;11.98;15.01;9.58;12.87;8.3;89.19;7.52;99.27;7.02;10.7;3.36;7.34;9.97;14.08;6.95;7.13
20090618;6.95;11.67;8.35;9.99;14.94;7.99;11.63;6.9;81.44;1.08;99.37;6.94;9.61;4.37;5.25;9.66;12.22;6.69;5.53
20090619;6.76;11.76;7.99;9.75;14.49;7.73;11.5;6.71;79.62;1.3;99.75;7.66;10.05;4.53;5.52;10.42;12.74;7.38;5.37
20090620;6.9;12.63;9.66;10.93;15.89;8.99;12.19;7.51;85.12;2.57;100.13;5.81;7.45;4.18;3.28;7.8;9.38;6.09;3.3
20090621;7.55;14.14;10.37;11.93;17.47;9.92;13.48;7.81;82.5;0.2;100.34;3.83;4.67;2.08;2.6;5.27;7.33;4.4;2.93
20090622;10.96;16.08;13.51;14.57;20.44;9.48;15.63;9.7;87.44;1.49;100.6;2.91;3.95;1.93;2.02;4.27;4.75;3.55;1.2
20090623;10.34;17.65;14.63;16.11;21.95;11.61;17.58;10.38;83.0;1.47;100.7;3.05;4.72;1.23;3.5;4.52;7.83;1.38;6.45
20090624;11.73;15.01;10.23;12.43;20.17;8.45;14.62;7.81;77.0;0.08;100.31;4.72;6.46;2.72;3.74;6.74;7.86;4.71;3.15
20090625;10.98;15.62;11.7;13.51;20.94;9.96;15.3;8.67;80.56;0.13;99.63;5.3;6.39;4.14;2.25;7.34;8.23;6.02;2.22
20090626;10.98;17.44;14.3;15.62;21.79;10.81;16.94;10.31;85.38;1.29;99.29;4.77;6.21;3.18;3.03;6.48;7.62;4.84;2.8
20090627;8.65;18.14;14.91;16.22;21.39;12.74;17.52;10.68;85.44;5.2;99.49;2.59;3.55;1.88;1.66;3.64;6.04;2.11;3.93
20090628;9.18;18.48;14.55;16.23;21.7;12.52;17.9;10.44;81.88;2.21;99.53;1.98;2.54;1.38;1.16;2.91;4.96;1.51;3.45
20090629;10.72;19.61;15.7;17.52;24.61;13.88;19.33;11.23;80.94;0.32;99.77;3.6;5.24;2.22;3.02;5.13;8.05;3.63;4.41
20090630;8.98;18.76;16.65;17.71;22.33;13.34;18.77;11.9;87.75;5.63;100.07;3.07;3.89;1.98;1.91;4.68;6.16;3.04;3.12
20090701;9.93;21.37;17.54;19.42;25.93;16.0;21.3;12.57;80.56;0.58;100.15;3.07;4.37;1.86;2.51;4.67;6.97;2.7;4.28
20090702;8.94;20.25;15.58;17.81;24.48;15.54;20.04;11.11;77.12;0.08;99.76;4.53;5.84;3.34;2.51;6.27;8.16;4.49;3.66
20090703;8.37;17.12;14.8;15.9;20.83;12.46;16.99;10.68;87.38;17.66;99.12;3.96;7.57;1.09;6.48;5.62;9.63;1.23;8.4
20090704;10.14;17.07;14.02;15.41;20.79;10.65;16.8;10.13;83.69;1.81;99.03;4.05;6.64;2.23;4.41;5.97;8.28;3.51;4.77
20090705;6.89;16.83;13.34;14.97;20.22;13.33;16.59;9.7;82.44;2.5;98.68;3.96;5.68;2.3;3.38;5.85;6.91;4.55;2.35
20090706;6.84;14.74;11.67;13.04;17.59;10.76;14.4;8.73;84.5;5.46;98.11;4.17;5.42;2.68;2.74;5.86;6.85;3.17;3.67
20090707;7.52;14.27;12.19;13.2;18.1;10.58;14.22;9.03;88.0;8.41;98.23;4.38;5.84;3.24;2.59;6.3;7.91;4.02;3.89
20090708;6.47;14.19;10.1;11.92;17.3;10.83;13.73;7.81;79.94;1.51;99.09;4.64;6.06;2.77;3.3;6.63;7.45;4.91;2.54
20090709;5.28;13.12;9.83;11.37;15.6;10.31;12.9;7.63;82.31;2.14;99.36;5.22;7.35;3.84;3.5;7.25;9.05;5.22;3.84
20090710;8.35;13.28;8.79;10.77;16.83;8.48;12.76;7.08;78.31;0.06;99.42;3.95;6.0;2.41;3.58;5.78;7.51;4.01;3.51
20090711;11.41;15.18;12.33;13.65;19.55;8.13;14.97;9.16;84.94;7.18;99.02;3.37;6.83;0.22;6.61;4.61;9.55;0.32;9.23
20090712;7.9;15.29;11.73;13.33;18.62;10.73;14.95;8.73;82.12;5.17;98.36;6.11;7.94;2.81;5.13;8.45;9.84;6.18;3.66
20090713;9.68;14.61;11.88;13.14;18.38;8.71;14.39;8.85;85.25;5.89;98.57;4.63;6.13;2.7;3.43;6.74;7.95;4.75;3.2
20090714;7.91;15.12;11.78;13.28;18.14;10.23;14.77;8.79;83.38;3.15;98.49;4.71;5.73;3.06;2.66;6.77;8.09;4.91;3.18
20090715;6.59;15.71;12.56;13.98;18.82;12.23;15.41;9.22;84.06;5.04;98.8;4.99;7.73;2.51;5.23;7.12;9.42;5.38;4.05
20090716;8.66;14.79;12.0;13.25;18.39;9.73;14.5;8.79;85.12;16.02;99.47;3.09;4.84;0.77;4.07;4.62;6.91;1.09;5.81
20090717;5.48;14.45;12.52;13.41;17.74;12.26;14.31;9.22;89.19;17.26;98.37;6.59;10.95;2.04;8.91;8.71;14.85;3.67;11.19
20090718;5.44;14.19;10.83;12.36;16.51;11.08;13.88;8.24;82.5;4.04;98.58;7.85;10.39;3.72;6.67;10.45;14.09;6.59;7.49
20090719;5.35;13.15;11.29;12.19;16.0;10.65;13.09;8.48;89.06;6.4;98.65;4.32;5.55;2.76;2.8;6.29;7.79;4.92;2.86
20090720;7.87;13.73;10.37;12.01;17.69;9.83;13.65;7.93;82.19;0.57;99.08;4.88;7.16;2.34;4.83;6.99;8.73;4.07;4.66
20090721;8.97;13.4;12.6;13.1;17.81;8.84;13.6;9.34;93.19;10.06;98.34;5.48;8.16;2.48;5.69;7.88;10.43;4.5;5.93
20090722;8.19;15.16;12.51;13.81;19.42;11.23;15.11;9.28;85.44;2.77;97.75;7.39;10.67;3.74;6.93;10.23;13.78;7.02;6.76
20090723;7.06;15.08;11.84;13.35;18.62;11.55;14.86;8.85;83.31;2.2;98.01;5.75;7.48;3.88;3.6;8.02;9.17;6.95;2.23
20090724;5.77;13.16;11.09;12.12;16.21;10.44;13.13;8.36;87.94;2.69;98.74;4.81;6.53;3.18;3.35;6.99;8.23;6.04;2.2
20090725;9.57;14.77;10.73;12.62;18.56;8.99;14.52;8.06;79.12;0.33;99.84;3.39;4.94;1.52;3.42;5.05;7.15;2.71;4.45
20090726;5.63;13.67;12.37;13.09;16.7;11.06;13.81;9.03;91.12;4.93;99.25;5.9;8.66;2.35;6.3;8.33;11.24;4.7;6.54
20090727;6.66;13.95;10.78;12.26;17.08;10.42;13.76;8.18;83.38;1.44;98.84;5.83;8.02;3.41;4.62;8.12;9.82;6.69;3.13
20090728;7.3;13.48;11.56;12.55;17.01;9.71;13.54;8.61;88.25;4.52;99.21;6.8;8.33;4.48;3.85;9.37;11.24;7.15;4.09
20090729;6.51;14.48;12.78;13.62;18.65;12.14;14.44;9.34;89.94;19.65;98.79;6.41;8.16;3.45;4.7;8.72;11.3;5.95;5.36
